condition,run,seed,n_rows,total_event_count,baseline_p_collapse,n_high,n_event_high,p_collapse_given_high_omega,ratio
shuffled_labels,68,20260592,710,36,0.05070422535211268,8,2,0.25,4.930555555555555
shuffled_labels,69,20260593,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,70,20260594,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,71,20260595,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,72,20260596,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,73,20260597,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,74,20260598,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,75,20260599,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,76,20260600,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,77,20260601,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,78,20260602,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,79,20260603,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,80,20260604,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,81,20260605,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,82,20260606,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,83,20260607,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,84,20260608,710,36,0.05070422535211268,8,2,0.25,4.930555555555555
shuffled_labels,85,20260609,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,86,20260610,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,87,20260611,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,88,20260612,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,89,20260613,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,90,20260614,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,91,20260615,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,92,20260616,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,93,20260617,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,94,20260618,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,95,20260619,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,96,20260620,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,97,20260621,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,98,20260622,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,99,20260623,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,100,20260624,710,36,0.05070422535211268,8,0,0.0,0.0
