condition,run,seed,n_rows,total_event_count,baseline_p_collapse,n_high,n_event_high,p_collapse_given_high_omega,ratio
shuffled_labels,69,20260593,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,70,20260594,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,71,20260595,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,72,20260596,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,73,20260597,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,74,20260598,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,75,20260599,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,76,20260600,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,77,20260601,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,78,20260602,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,79,20260603,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,80,20260604,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,81,20260605,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,82,20260606,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,83,20260607,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,84,20260608,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,85,20260609,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,86,20260610,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,87,20260611,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,88,20260612,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,89,20260613,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,90,20260614,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,91,20260615,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,92,20260616,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,93,20260617,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,94,20260618,479,24,0.05010438413361169,5,3,0.6,11.975
shuffled_labels,95,20260619,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,96,20260620,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,97,20260621,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,98,20260622,479,24,0.05010438413361169,5,2,0.4,7.983333333333333
shuffled_labels,99,20260623,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,100,20260624,479,24,0.05010438413361169,5,0,0.0,0.0
